Rule 1,Description 1,Rule 2,Description 2,Score (1-10),Reason
GUARDDUTY_EC2_PROTECTION_RUNTIME_ENABLED,Checks if ECS Runtime Monitoring with automated agent management is enabled for Amazon GuardDuty detector. The rule is NON_COMPLIANT if the feature is not enabled for your account or at least one member account in your organization.,GUARDDUTY_ECS_PROTECTION_RUNTIME_ENABLED,Checks if ECS Runtime Monitoring with automated agent management is enabled for Amazon GuardDuty detector. The rule is NON_COMPLIANT if the feature is not enabled for your account or at least one member account in your organization.,8,Similar names (97%); Similar descriptions (100%)
WORKSPACES_USER_VOLUME_ENCRYPTION_ENABLED,Checks if an Amazon WorkSpace volume has the user volume encryption settings set to enabled. This rule is NON_COMPLIANT if the encryption setting is not enabled for the user volume.,WORKSPACES_ROOT_VOLUME_ENCRYPTION_ENABLED,Checks if an Amazon WorkSpace volume has the root volume encryption settings set to enabled. This rule is NON_COMPLIANT if the encryption setting is not enabled for the root volume.,8,Similar names (91%); Similar descriptions (97%)
S3_BUCKET_PUBLIC_WRITE_PROHIBITED,Control access to your log archive's Amazon S3 bucket by disallowing public write access.,S3_BUCKET_PUBLIC_READ_PROHIBITED,Control access to your log archive's Amazon S3 bucket by disallowing public read access.,8,Similar names (92%); Similar descriptions (97%)
APPSYNC_CACHE_CT_ENCRYPTION_AT_REST,Checks if an AWS AppSync API cache has encryption at rest enabled. This rule is NON_COMPLIANT if 'AtRestEncryptionEnabled' is false.,APPSYNC_CACHE_ENCRYPTION_AT_REST,Checks if an AWS AppSync API cache has encryption at rest enabled. This rule is NON_COMPLIANT if 'AtRestEncryptionEnabled' is false.,8,Similar names (96%); Similar descriptions (100%)
APPMESH_VIRTUAL_NODE_LOGGING_FILE_PATH_EXISTS,Checks if AWS App Mesh virtual nodes have a file path to write access logs to. The rule is NON_COMPLIANT if configuration.Spec.Logging.AccessLog.File.Path does not exist.,APPMESH_VIRTUAL_GATEWAY_LOGGING_FILE_PATH_EXISTS,Checks if AWS App Mesh virtual gateways have a file path to write access logs to. The rule is NON_COMPLIANT if configuration.Spec.Logging.AccessLog.File.Path does not exist.,8,Similar names (90%); Similar descriptions (97%)
MQ_CLOUDWATCH_AUDIT_LOG_ENABLED,Checks if an Amazon MQ broker has CloudWatch audit logging enabled. The rule is NON_COMPLIANT if the broker does not have audit logging enabled.,MQ_CLOUDWATCH_AUDIT_LOGGING_ENABLED,Checks if Amazon MQ brokers have Amazon CloudWatch audit logging enabled. The rule is NON_COMPLIANT if a broker does not have audit logging enabled.,8,Similar names (92%); Similar descriptions (94%)
MQ_AUTO_MINOR_VERSION_UPGRADE_ENABLED,Checks if automatic minor version upgrades are enabled for Amazon MQ brokers. The rule is NON_COMPLIANT if the 'AutoMinorVersionUpgrade' field is not enabled for an Amazon MQ broker.,MQ_AUTOMATIC_MINOR_VERSION_UPGRADE_ENABLED,Checks if automatic minor version upgrades are enabled for Amazon MQ brokers. The rule is NON_COMPLIANT if the 'AutoMinorVersionUpgrade' field is not enabled for an Amazon MQ broker.,8,Similar names (92%); Similar descriptions (100%)
CLOUDTRAIL_ALL_WRITE_S3_DATA_EVENT_CHECK,Checks if an AWS CloudTrail multi-Region trail is enabled and logs all write S3 data events for your buckets. The rule is NON_COMPLIANT if no multi-Region trail logs all write S3 data event types for all current and future S3 buckets.,CLOUDTRAIL_ALL_READ_S3_DATA_EVENT_CHECK,Checks if an AWS CloudTrail multi-Region trail is enabled and logs all read S3 data events for your buckets. The rule is NON_COMPLIANT if no multi-Region trail logs all read S3 data event types for all current and future S3 buckets.,8,Similar names (93%); Similar descriptions (96%)
ELASTICBEANSTALK_APPLICATION_DESCRIPTION,Checks if AWS Elastic Beanstalk applications have a description. The rule is NON_COMPLIANT if configuration.description does not exist or is an empty string.,ELASTICBEANSTALK_APPLICATION_VERSION_DESCRIPTION,Checks if AWS Elastic Beanstalk application versions have a description. The rule is NON_COMPLIANT if configuration.description does not exist or is an empty string.,8,Similar names (91%); Similar descriptions (98%)
ELB_INTERNAL_SCHEME_CHECK,Checks if a Classic Load Balancer scheme is internal. The rule is NON_COMPLIANT if configuration.scheme is not set to internal.,NLB_INTERNAL_SCHEME_CHECK,Checks if a Network Load Balancer scheme is internal. The rule is NON_COMPLIANT if configuration.scheme is not set to internal.,8,Similar names (95%); Similar descriptions (94%)
